;clean_tw;tw_text
184;great honor rev jerri falwel jr liberti univers one respect religi leader nation endors;Great honor- Rev. Jerry Falwell Jr. of Liberty University, one of the most respected religious leaders in our nation, has just endorsed me!
185;dont countri dont border votetrump video;We don't have a country- if we don't have borders. #VoteTrump  Video: URLi URLi
186;look forward tampa afternoon wonder crowd thank florida;Look forward to being in Tampa this afternoon. Wonderful crowds. Thank you, Florida!
187;leav great peopl north carolina amaz event head tampa votetrump;Leaving the great people of North Carolina. Amazing event. Heading to Tampa now! #VoteTrump
188;gov kasich vote nafta devast ohio push tpp hard bad american worker;Gov Kasich voted for NAFTA, which devastated Ohio and is now pushing TPP hard- bad for American workers!
189;kasich help decim coal steel industri ohio bring back makeamericagreatagain;Kasich has helped decimate the coal and steel industries in Ohio. I will bring them back! #MakeAmericaGreatAgain
190;lightweight said tonight didnt know famili use privat emin domain texa lie gopdeb;Lightweight @JebBush said tonight he didn't know his family used private eminent domain in Texas- Lie!  #GOPDebate
191;thank miss father;Thank you! I miss my father.  URLi
192;beat hillari clinton cant beat anyon el gopdeb stage one;How can @JebBush beat Hillary Clinton- if he can't beat anyone else on the #GOPDebate stage with $150M? I am the only one who can!
193;poll win debat big drudg time etc dopey charl krauthamm still nasti zero cred total dishonest;All polls have me winning debate big- Drudge, TIME, etc. Dopey Charles Krauthammer still nasty. He has zero cred- totally dishonest!
194;makeamericagreatagain;#MakeAmericaGreatAgain! URLi
195;hey see beat boy ted blaze poll endors mean noth gopdeb;Hey @glennbeck- see how I beat your boy Ted- in your own Blaze poll? Your endorsement means nothing! #GOPDebate
196;gopdeb googletrend;#GOPDebate #GoogleTrends URLi
197;crush debat thank;"""@jeffpaine:  @realDonaldTrump you crushed the debate! Thank you!"
198;even though everi poll time drudg etc win debat lot put neg peopl bias total joke;Even though every poll, Time, Drudge etc., has me winning the debate by a lot, @FoxNews only puts negative people on. Biased - a total joke!
199;jeb incompet lose dont wast energi cri babi;"""@autumnandews08: @realDonaldTrump @JebBush Jeb is incompetent and will lose, don't waste your energy on that cry baby!"""
200;show complet amp total liar ted cruz said wouldnt nomin john robert realli;"This shows what a complete &amp; total liar Ted Cruz is- he said he wouldn't have nominated John Roberts. Really? URLi"
201;face nation john dickerson cb morn enjoy;I will be on Face the Nation with John Dickerson on CBS this morning. Enjoy!
202;thank support togeth make america great;Thank you for your support! TOGETHER we will MAKE AMERICA GREAT AGAIN!  URLi URLi
203;love debat last night almost everyon said rnc terribl job ticket distrbut donor amp special int;"Loved the debate last night, and almost everyone said I won, but the RNC did a terrible job of ticket distrbution. All donors &amp; special ints"
204;ticket futur debat put gener public instead given lobbyist amp special interest bos;"Tickets for future debates should be put out to the general public instead of being given to the lobbyists &amp; special interests - the bosses!"
